id,title,author,year,total_weeks,first_week,debut_rank,best_rank,author_count,author_first_name,author_last_name,author_gender,author_race
0,"""H"" IS FOR HOMICIDE",Sue Grafton,1991,15,1991-05-05,15,2,1,['Sue'],['Grafton'],['F'],['white']
1,"""I"" IS FOR INNOCENT",Sue Grafton,1992,11,1992-04-26,2,2,1,['Sue'],['Grafton'],['F'],['white']
10,''G'' IS FOR GUMSHOE,Sue Grafton,1990,6,1990-05-06,8,8,1,['Sue'],['Grafton'],['F'],['white']
100,A DOG'S JOURNEY,W. Bruce Cameron,2012,1,2012-05-27,14,14,1,['W.'],['Cameron'],[None],['white']
1000,CHANGING FACES,Kimberla Lawson Roby,2006,1,2006-02-19,14,14,1,['Kimberla'],['Roby'],['F'],['white']
1001,CHAOS,Patricia Cornwell,2016,3,2016-12-04,7,7,1,['Patricia'],['Cornwell'],['F'],['white']
1002,CHAPTERHOUSE: DUNE,Frank Herbert,1985,16,1985-04-21,14,2,1,['Frank'],['Herbert'],['M'],['white']
1003,CHARADE,Sandra Brown,1994,5,1994-05-01,12,10,1,['Sandra'],['Brown'],['F'],['white']
1004,CHARLESTON,John Jakes,2002,4,2002-08-25,12,12,1,['John'],['Jakes'],['M'],['white']
1005,CHARLOTTE GRAY,Sebastian Faulks,1999,1,1999-03-14,17,17,1,['Sebastian'],['Faulks'],['M'],['black']
1006,CHARLOTTE'S WEB,E.B. White,1952,3,1952-11-09,13,13,1,['E.B.'],['White'],[None],['white']
1007,CHARM!,Kendall Hart,2008,2,2008-02-24,15,13,1,['Kendall'],['Hart'],['F'],['white']
1008,CHARMED CIRCLE,Susan Ertz,1956,11,1956-07-15,12,8,1,['Susan'],['Ertz'],['F'],['white']
1009,CHARMING BILLY,Alice McDermott,1998,6,1998-12-27,12,5,1,['Alice'],['McDermott'],['F'],['white']
101,A DOG'S LIFE,Peter Mayle,1995,9,1995-04-09,12,5,1,['Peter'],['Mayle'],['M'],['white']
1010,CHARMS FOR THE EASY LIFE,Kaye Gibbons,1993,8,1993-05-02,11,11,1,['Kaye'],['Gibbons'],['F'],['white']
1011,CHARON'S CLAW,R. A. Salvatore,2012,1,2012-08-26,4,4,1,['R.'],['Salvatore'],[None],['white']
1012,CHARON’S CLAW,R. A. Salvatore,2012,1,2012-09-02,16,16,1,['R.'],['Salvatore'],[None],['white']
1013,CHASING CEZANNE,Peter Mayle,1997,12,1997-06-22,14,6,1,['Peter'],['Mayle'],['M'],['white']
1014,CHASING DARKNESS,Robert Crais,2008,2,2008-07-20,7,7,1,['Robert'],['Crais'],['M'],['white']
1015,CHASING DESTINY,Eric Jerome Dickey,2006,3,2006-04-30,8,6,1,['Eric'],['Dickey'],['M'],['white']
1016,CHASING FIRE,Nora Roberts,2011,5,2011-05-01,1,1,1,['Nora'],['Roberts'],['F'],['white']
1017,CHASING HARRY WINSTON,Lauren Weisberger,2008,11,2008-06-15,6,4,1,['Lauren'],['Weisberger'],['F'],['white']
1018,CHASING MIDNIGHT,Randy Wayne White,2012,1,2012-03-25,7,7,1,['Randy'],['White'],['M'],['white']
1019,CHASING SUNSETS,Karen Kingsbury,2015,1,2015-04-26,14,14,1,['Karen'],['Kingsbury'],['F'],['white']
102,A DOG'S WAY HOME,W. Bruce Cameron,2017,2,2017-05-28,10,10,1,['W.'],['Cameron'],[None],['white']
1020,CHASING THE DIME,Michael Connelly,2002,3,2002-11-03,6,3,1,['Michael'],['Connelly'],['M'],['white']
1021,CHASING THE NIGHT,Iris Johansen,2010,1,2010-11-07,13,13,1,['Iris'],['Johansen'],['F'],['white']
1022,CHERRY,Nico Walker,2018,1,2018-09-02,14,14,1,['Nico'],['Walker'],['M'],['white']
1023,CHESAPEAKE,James A. Michener,1978,47,1978-07-23,1,1,1,['James'],['Michener'],['M'],['white']
1024,CHESAPEAKE BLUE,Nora Roberts,2002,5,2002-11-24,1,1,1,['Nora'],['Roberts'],['F'],['white']
1025,CHESTNUT STREET,Maeve Binchy,2014,5,2014-05-11,3,3,1,['Maeve'],['Binchy'],['F'],[None]
1026,CHEZ PAVAN,Richard Llewellyn,1958,8,1958-08-24,16,10,1,['Richard'],['Llewellyn'],['M'],['white']
1027,CHILD 44,Tom Rob Smith,2008,3,2008-05-18,9,9,1,['Tom'],['Smith'],['M'],['white']
1028,CHILD'S PLAY,Danielle Steel,2019,1,2019-10-27,9,9,1,['Danielle'],['Steel'],['F'],['white']
1029,CHILDREN OF GOD,Vardis Fisher,1939,9,1939-09-04,6,2,1,['Vardis'],['Fisher'],[None],['white']
103,A DREAM OF KINGS,Davis Grubb,1955,1,1955-10-23,15,15,1,['Davis'],['Grubb'],['M'],['white']
1030,CHILDREN OF THE JEDI,Barbara Hambly,1995,4,1995-04-30,6,6,1,['Barbara'],['Hambly'],['F'],['white']
1031,CHILDREN OF THE STORM,Elizabeth Peters,2003,2,2003-04-20,11,11,1,['Elizabeth'],['Peters'],['F'],['white']
1032,CHILL FACTOR,Sandra Brown,2005,6,2005-09-04,1,1,1,['Sandra'],['Brown'],['F'],['white']
1033,CHILL OF FEAR,Kay Hooper,2005,3,2005-08-14,12,12,1,['Kay'],['Hooper'],['F'],['white']
1034,CHINA COURT,Rumer Godden,1961,21,1961-03-26,11,5,1,['Rumer'],['Godden'],['F'],['white']
1035,CHINA DOLLS,Lisa See,2014,2,2014-06-22,10,10,1,['Lisa'],['See'],['F'],['white']
1036,CHLOE MARR,A. A. Milne,1946,1,1946-09-22,16,16,1,['A.'],['Milne'],['M'],['white']
1037,CHOCOLATE CREAM PIE MURDER,Joanne Fluke,2019,1,2019-03-17,6,6,1,['Joanne'],['Fluke'],['F'],['white']
1038,CHOKE,Chuck Palahniuk,2001,3,2001-06-10,10,10,1,['Chuck'],['Palahniuk'],['M'],[None]
1039,CHOPPING SPREE,Diane Mott Davidson,2002,2,2002-07-14,12,12,1,['Diane'],['Davidson'],['F'],['white']
104,A DREAM OF KINGS,Harry Mark Petrakis,1966,12,1966-10-30,10,8,1,['Harry'],['Petrakis'],['M'],['white']
1040,CHOPPY WATER,Stuart Woods,2020,1,2020-08-30,6,6,1,['Stuart'],['Woods'],['M'],['white']
1041,CHOSEN COUNTRY,John Dos Passos,1952,2,1952-01-13,14,14,1,['John'],['Passos'],['M'],['white']
1042,CHOSEN ONES,Veronica Roth,2020,1,2020-04-26,11,11,1,['Veronica'],['Roth'],['F'],['white']
1043,CHOSEN PREY,John Sandford,2001,8,2001-05-27,2,1,1,['John'],['Sandford'],['M'],['white']
1044,CHRIST IN CONCRETE,Pietro di Donato,1939,11,1939-09-04,3,2,1,['Pietro'],['Donato'],['M'],['white']
1045,CHRIST THE LORD: OUT OF EGYPT,Anne Rice,2005,12,2005-11-20,4,4,1,['Anne'],['Rice'],['F'],['white']
1046,CHRIST THE LORD: THE ROAD TO CANA,Anne Rice,2008,3,2008-03-23,9,8,1,['Anne'],['Rice'],['F'],['white']
1047,CHRISTINE,Stephen King,1983,32,1983-04-10,3,2,1,['Stephen'],['King'],['M'],['white']
1048,CHRISTMAS CARAMEL MURDER,Joanne Fluke,2016,1,2016-10-16,7,7,1,['Joanne'],['Fluke'],['F'],['white']
1049,CHRISTMAS HOLIDAY,W. Somerset Maugham,1939,11,1939-10-30,3,2,1,['W.'],['Maugham'],[None],[None]
105,A FABLE,William Faulkner,1954,15,1954-08-22,6,4,1,['William'],['Faulkner'],['M'],['white']
1050,CHRISTMAS LETTERS,Debbie Macomber,2006,3,2006-10-22,15,12,1,['Debbie'],['Macomber'],['F'],['white']
1051,CHRISTY,Catherine Marshall,1967,38,1967-11-05,9,2,1,['Catherine'],['Marshall'],['F'],['white']
1052,CHROMOSOME 6,Robin Cook,1997,8,1997-04-06,4,2,1,['Robin'],['Cook'],['F'],['white']
1053,CILKA'S JOURNEY,Heather Morris,2019,2,2019-10-20,8,8,1,['Heather'],['Morris'],['F'],['white']
1054,CIMARRON ROSE,James Lee Burke,1997,3,1997-08-24,16,13,1,['James'],['Burke'],['M'],['white']
1055,CINNAMON ROLL MURDER,Joanne Fluke,2012,1,2012-03-18,7,7,1,['Joanne'],['Fluke'],['F'],['white']
1056,CINNAMON SKIN,John D. MacDonald,1982,13,1982-07-04,9,3,1,['John'],['MacDonald'],['M'],['white']
1057,CIRCE,Madeline Miller,2018,16,2018-04-29,1,1,1,['Madeline'],['Miller'],['F'],['white']
1058,CIRCLE OF FRIENDS,Maeve Binchy,1991,12,1991-01-27,14,6,1,['Maeve'],['Binchy'],['F'],[None]
1059,CIRCLING THE SUN,Paula McLain,2015,2,2015-09-13,11,11,1,['Paula'],['McLain'],['F'],['white']
106,A FAMILY PARTY,John O'Hara,1956,1,1956-09-02,14,14,1,['John'],"[""O'Hara""]",['M'],[None]
1060,CIRCLING THE SUN,Paula Mclain,2015,4,2015-08-16,4,4,1,['Paula'],['Mclain'],['F'],['white']
1061,CIRCUS,Alistair MacLean,1975,12,1975-08-31,9,5,1,['Alistair'],['MacLean'],['M'],['white']
1062,CITIES OF REFUGE,Phillip Gibbs,1937,8,1937-01-18,7,4,1,['Phillip'],['Gibbs'],['M'],['white']
1063,CITIES OF THE PLAIN,Cormac McCarthy,1998,7,1998-05-31,9,2,1,['Cormac'],['McCarthy'],['M'],['white']
1064,CITIZEN TOM PAINE,Howard Fast,1943,10,1943-05-17,5,2,1,['Howard'],['Fast'],['M'],['white']
1065,CITY OF BONES,Michael Connelly,2002,6,2002-05-05,5,4,1,['Michael'],['Connelly'],['M'],['white']
1066,CITY OF ENDLESS NIGHT,Douglas Preston and Lincoln Child,2018,4,2018-02-04,2,2,2,"['Douglas', 'Lincoln']","['Preston', 'Child']","['M', 'M']","['white', 'white']"
1067,CITY OF GIRLS,Elizabeth Gilbert,2019,10,2019-06-23,2,2,1,['Elizabeth'],['Gilbert'],['F'],['white']
1068,CITY OF GOD,E. L. Doctorow,2000,4,2000-03-05,15,11,1,['E.'],['Doctorow'],[None],[None]
1069,CITY OF NIGHT,John Rechy,1963,24,1963-07-07,7,3,1,['John'],['Rechy'],['M'],[None]
107,A FEARFUL JOY,Joyce Cary,1950,4,1950-10-29,11,11,1,['Joyce'],['Cary'],['F'],['white']
